material_profile,process_profile,process_lambda,requested_clusters,ari_optimistic_reported,ari_reported_pessimistic,ari_optimistic_pessimistic
identity_soft,equal,1.0,80,0.9110058254296495,0.8462756990216886,0.8132934868494762
identity_soft,method_type,0.0,8,0.8026775275517293,0.8864552008366254,0.7538116782493443
identity_soft,method_type,0.0,12,0.5514141909513841,0.7040323395552276,0.3903245503943013
identity_soft,method_type,0.0,20,0.8623179196922712,0.5505848289515483,0.5899612178217936
identity_soft,method_type,0.0,30,0.9065045228522797,0.6630947035130228,0.6197227898674886
identity_soft,method_type,0.0,50,0.7928737743486434,0.6142576252037566,0.49209852231065737
identity_soft,method_type,0.0,80,0.7798477786978828,0.4981858255305817,0.45419224276433523
identity_soft,method_type,0.25,8,0.8253430484192954,0.5392109590926781,0.5765268188747187
identity_soft,method_type,0.25,12,0.8411904926324609,0.650998137467167,0.6455615698930104
identity_soft,method_type,0.25,20,0.9127394040781536,0.6924371272937057,0.6653405426018387
identity_soft,method_type,0.25,30,0.9387653914879499,0.6989742454219623,0.6905294112045338
identity_soft,method_type,0.25,50,0.5873223012996278,0.6206451947535361,0.4838669084211707
identity_soft,method_type,0.25,80,0.9655037689375282,0.5836150678287267,0.5706104426991057
identity_soft,method_type,0.5,8,0.4817922727018072,0.4469478217361209,0.9095426796807066
identity_soft,method_type,0.5,12,0.6228275237466931,0.4203863636483296,0.5676494912765435
identity_soft,method_type,0.5,20,0.777843171159284,0.7105273331121021,0.8543828168401123
identity_soft,method_type,0.5,30,0.7040434834113931,0.7245340053789701,0.7287053999785803
identity_soft,method_type,0.5,50,0.7612387684675337,0.7122961021893021,0.8293806874493789
identity_soft,method_type,0.5,80,0.7568474613559716,0.6119189042300577,0.7143246065430585
identity_soft,method_type,0.75,8,0.9923969104307737,0.9508043511523215,0.9439921227279836
identity_soft,method_type,0.75,12,0.5829407797495109,0.9150740102426678,0.6220813492650418
identity_soft,method_type,0.75,20,0.6869485543931692,0.7084794849265446,0.7833888671219548
identity_soft,method_type,0.75,30,0.7658011796405214,0.6920699988521358,0.7133972706934004
identity_soft,method_type,0.75,50,0.7861084341463768,0.7855171622405837,0.944956298250959
identity_soft,method_type,0.75,80,0.8235148704408466,0.9043103431675771,0.8695693166511643
identity_soft,method_type,1.0,8,1.0,1.0,1.0
identity_soft,method_type,1.0,12,0.9966059016614789,0.9966059016614789,1.0
identity_soft,method_type,1.0,20,0.8621335312880913,0.8621335312880913,1.0
identity_soft,method_type,1.0,30,0.9669993400766832,0.962993618946224,0.9960467208725291
identity_soft,method_type,1.0,50,0.9546613760271531,0.9090160116856162,0.9432451574402257
identity_soft,method_type,1.0,80,1.0,1.0,1.0
identity_soft,sequence,0.0,8,0.8026775275517293,0.8864552008366254,0.7538116782493443
identity_soft,sequence,0.0,12,0.5514141909513841,0.7040323395552276,0.3903245503943013
identity_soft,sequence,0.0,20,0.8623179196922712,0.5505848289515483,0.5899612178217936
identity_soft,sequence,0.0,30,0.9065045228522797,0.6630947035130228,0.6197227898674886
identity_soft,sequence,0.0,50,0.7928737743486434,0.6142576252037566,0.49209852231065737
identity_soft,sequence,0.0,80,0.7798477786978828,0.4981858255305817,0.45419224276433523
identity_soft,sequence,0.25,8,0.6340204487525514,0.7800428366674288,0.6477965863481645
identity_soft,sequence,0.25,12,0.8793197152695296,0.553770797670438,0.522906183962685
identity_soft,sequence,0.25,20,0.739919059189805,0.6947306513919099,0.6844899475368905
identity_soft,sequence,0.25,30,0.7436325232977316,0.7037630411046883,0.8199271955933519
identity_soft,sequence,0.25,50,0.5633350585169635,0.6526409733040669,0.6334523176487115
identity_soft,sequence,0.25,80,0.8898854611919638,0.5750006499104858,0.524992023010099
identity_soft,sequence,0.5,8,0.5506232463716344,0.7128214742865595,0.5434132655769083
identity_soft,sequence,0.5,12,0.5799530180566341,0.718467638050716,0.6550947477794536
identity_soft,sequence,0.5,20,0.6153826704336981,0.6099515032315113,0.8359020627940719
identity_soft,sequence,0.5,30,0.7694493667260854,0.7635519410051864,0.8262857087705733
identity_soft,sequence,0.5,50,0.6675201439497248,0.6855186830394654,0.7609330739263964
identity_soft,sequence,0.5,80,0.8873048927018924,0.701427214187031,0.6548425002227739
identity_soft,sequence,0.75,8,0.3121750847293017,0.5380181178403982,0.34632664537552105
identity_soft,sequence,0.75,12,0.6329540758204925,0.6496169605029738,0.5782217500500935
identity_soft,sequence,0.75,20,0.5989584677079869,0.6215764044319734,0.5924413407532595
identity_soft,sequence,0.75,30,0.8589590770201603,0.8321478445296044,0.7978618412649967
identity_soft,sequence,0.75,50,0.8207621280039306,0.8101739891826797,0.790531395640941
identity_soft,sequence,0.75,80,0.8701575439542092,0.9283444316035183,0.8820009383469635
identity_soft,sequence,1.0,8,0.1993922467678434,0.7089574395725365,0.35449842221323674
identity_soft,sequence,1.0,12,0.6077464012405853,0.6938105976499059,0.8218586323267018
identity_soft,sequence,1.0,20,0.6215957868638823,0.7391144485220112,0.8104942826885178
identity_soft,sequence,1.0,30,0.7586860953476674,0.8402221654050952,0.8748326856183388
identity_soft,sequence,1.0,50,0.8667738800070612,0.8992184190166282,0.7853096549299781
identity_soft,sequence,1.0,80,0.9772604234890837,0.9273801548045355,0.9229107330094543
identity_soft,settings_all,0.0,8,0.8026775275517293,0.8864552008366254,0.7538116782493443
identity_soft,settings_all,0.0,12,0.5514141909513841,0.7040323395552276,0.3903245503943013
