left,right,occurrence_settings,aligned_settings,fixed_scale_balanced,subset_scale_balanced,augmented_descriptors_balanced
l380-s1-zhao-2017,l266-s8-kalaitzidou-2007,0.6802192218350754,0.6802192218350754,0.5357497988711536,0.5357514412708577,0.43849615656803015
l279-s1-motaung-2012,l285-s3-pham-2012,0.6770833333333334,0.6770833333333334,0.45052083333333337,0.45052083333333337,0.45052083333333337
l225-s1-ma-2007,l118-s1-fidelus-2005,0.8635549748354626,0.8771994773519165,0.5080762437088656,0.5080957091868404,0.5080762437088656
l146-s3-tao-2011,l392-s1-wang-2020,1.0,1.0,0.9910714285714286,0.9910714285714286,0.8713973142537709
l111-s3-singha-2009,l297-s1-shen-2004,0.8885879427990709,0.9130434782608695,0.8908969856997678,0.8909170594739292,0.7373765294074053
l209-s7-ash-2001,l318-s4-patsidis-2014,1.0,1.0,0.8846255060253613,0.8778729515565267,0.8499246205356693
l310-s5-chatterjee-2007,l316-s10-chandrasekaran-2013,0.6695510826281732,0.7387521777003484,0.5721288264895298,0.5711608264193315,0.5851432788460853
l304-s3-stockelhuber-2011,l260-s5-haggenmueller-2006,0.8006968641114982,0.8006968641114982,0.8349116140465226,0.8300217449464777,0.7508084584028453
l140-s9-gao-2012,l276-s3-huang-2009,1.0,1.0,0.649965440413039,0.6496689153102617,0.6013510489717002
l225-s1-ma-2007,l376-s6-carroll-2017,1.0,1.0,0.9468005952380953,0.9468005952380953,0.7946885834988737
l325-s5-manafi-2015,l375-s1-rishi-2018,0.9232868757259002,0.9168989547038328,0.8511654209284029,0.851168888216667,0.7396191079024589
l254-s7-castillo-2011,l285-s3-pham-2012,1.0,1.0,0.8387787667463332,0.837686317061939,0.8228175497126581
l196-s4-petersson-2006,l316-s3-chandrasekaran-2013,0.8067378048780487,0.8946596086839989,0.7099290742449352,0.7035031642941236,0.6596422200478904
l324-s5-zhu-2017,l276-s3-huang-2009,0.8501742160278745,0.8501742160278745,0.6160278806234689,0.6072170961424936,0.566081631276609
e116-s21-prasad-2018,l282-s3-cui-2008,0.8823529411764706,1.0,0.6317845022222285,0.6284551182768894,0.6053867744823591
l313-s2-huang-2014,l297-s1-shen-2004,0.8792329050522648,1.0,0.8604332262630662,0.8604824982541899,0.7140095836105611
l302-s3-bandyopadhyay-2005,l388-s1-benes-2018,0.9285714285714286,0.9285714285714286,0.7901785714285714,0.7901785714285714,0.6382958413607914
l121-s8-nelson-2005,l310-s5-chatterjee-2007,0.8868078023892484,0.8868078023892484,0.683063934907165,0.6830717558581371,0.6011469853572832
l209-s7-ash-2001,l191-s2-xie-2004,1.0,1.0,0.7098110244786132,0.7078953647996028,0.6702413187944974
l380-s1-zhao-2017,l386-s54-jimenez-2019,0.9192753702090593,0.9192753702090593,0.8586428763370801,0.8586435606702902,0.7374500062516143
l120-s11-murugaraj-2005,l318-s4-patsidis-2014,1.0,1.0,0.9762374591224132,0.9614979743481975,0.887197634803105
l210-s4-zhang-2014,l313-s2-huang-2014,0.7142475274815139,0.8895570892522111,0.49481453998534625,0.49998972895405197,0.42970041328111364
l310-s5-chatterjee-2007,l396-s4-ghosh-2013,0.9985576923076922,1.0,0.7174328595653762,0.715565662136949,0.6841845480505645
l225-s1-ma-2007,l267-s3-kim-2006,0.8875,1.0,0.44211309523809517,0.44211309523809517,0.44211309523809517
l191-s2-xie-2004,l287-s2-jang-2008,0.933078058459156,0.933078058459156,0.6091546007677895,0.6071989425479003,0.580695556616699
l132-s4-holt-2014,l316-s10-chandrasekaran-2013,0.9495690445626261,0.9503025857326243,0.7942494664353619,0.7942506189965577,0.7152691594153257
l120-s11-murugaraj-2005,l191-s2-xie-2004,1.0,1.0,0.8460910463011346,0.8285112250834157,0.7619329636231121
l308-s4-demetrio-2013,l318-s3-patsidis-2014,0.8352470700031677,0.9166930630345264,0.7320825071079718,0.728604636491278,0.7132103413534505
l310-s5-chatterjee-2007,l304-s3-stockelhuber-2011,0.8581383773021404,0.7142857142857143,0.6367662647714912,0.6362414476728996,0.541676435520427
l129-s12-wu-2011,l388-s1-benes-2018,0.9166666666666666,0.9166666666666666,0.7916666666666666,0.7916666666666666,0.640329845340414
l137-s8-yang-2014,l297-s1-shen-2004,0.78125,0.7254464285714286,0.7687641579911316,0.7687641579911316,0.6538527698980564
