view,mask_fraction,distance_threshold,rule,eligible_pairs,accepted_pairs,contradictory_pairs,reference_close_pairs,retained_reference_close_pairs,n_article_groups,n_query_runs,retained_fraction,retained_fraction_ci_low,retained_fraction_ci_high,contradiction_fraction,contradiction_fraction_ci_low,contradiction_fraction_ci_high,reference_close_recall,reference_close_recall_ci_low,reference_close_recall_ci_high
experimental_protocol,0.75,0.3,coverage_0.5,42666,495,312,264,183,93,360,0.01160174377724652,0.00829125203332969,0.015448318372573114,0.6303030303030303,0.5235288250063256,0.7286563023450586,0.6931818181818182,0.5633144662366724,0.837228143841516
experimental_protocol,0.75,0.3,coverage_0.75,42666,0,0,264,0,93,360,0.0,0.0,0.0,,,,0.0,0.0,0.0
experimental_protocol,0.75,0.3,interval_upper,42666,0,0,264,0,93,360,0.0,0.0,0.0,,,,0.0,0.0,0.0
experimental_protocol,0.75,0.3,reported_point,42666,495,312,264,183,93,360,0.01160174377724652,0.00829125203332969,0.015448318372573114,0.6303030303030303,0.5235288250063256,0.7286563023450586,0.6931818181818182,0.5633144662366724,0.837228143841516
experimental_protocol,0.75,0.4,coverage_0.5,42666,948,573,534,375,93,360,0.022219097173393335,0.017752181007794868,0.02741135342742148,0.6044303797468354,0.5185460543412183,0.6880018348623853,0.702247191011236,0.6068803879310345,0.7836944018404908
experimental_protocol,0.75,0.4,coverage_0.75,42666,0,0,534,0,93,360,0.0,0.0,0.0,,,,0.0,0.0,0.0
experimental_protocol,0.75,0.4,interval_upper,42666,12,0,534,12,93,360,0.0002812543945999156,0.0,0.0006358656622469769,0.0,0.0,0.0,0.02247191011235955,0.0,0.047081965273464074
experimental_protocol,0.75,0.4,reported_point,42666,948,573,534,375,93,360,0.022219097173393335,0.017752181007794868,0.02741135342742148,0.6044303797468354,0.5185460543412183,0.6880018348623853,0.702247191011236,0.6068803879310345,0.7836944018404908
experimental_protocol,0.75,0.5,coverage_0.5,42666,1556,651,1548,905,93,360,0.03646931983312239,0.031149468224723753,0.04228620789045709,0.41838046272493573,0.36004630150048644,0.47388219363574813,0.584625322997416,0.5360832342891101,0.6340124045801526
experimental_protocol,0.75,0.5,coverage_0.75,42666,0,0,1548,0,93,360,0.0,0.0,0.0,,,,0.0,0.0,0.0
experimental_protocol,0.75,0.5,interval_upper,42666,259,0,1548,259,93,360,0.006070407350114846,0.004044799765561325,0.008249370666109843,0.0,0.0,0.0,0.16731266149870802,0.12052794641397711,0.2135038533128167
experimental_protocol,0.75,0.5,reported_point,42666,1556,651,1548,905,93,360,0.03646931983312239,0.031149468224723753,0.04228620789045709,0.41838046272493573,0.36004630150048644,0.47388219363574813,0.584625322997416,0.5360832342891101,0.6340124045801526
material_identity,0.25,0.1,coverage_0.5,42666,0,0,1029,0,93,360,0.0,0.0,0.0,,,,0.0,0.0,0.0
material_identity,0.25,0.1,coverage_0.75,42666,0,0,1029,0,93,360,0.0,0.0,0.0,,,,0.0,0.0,0.0
material_identity,0.25,0.1,interval_upper,42666,0,0,1029,0,93,360,0.0,0.0,0.0,,,,0.0,0.0,0.0
material_identity,0.25,0.1,reported_point,42666,1029,0,1029,1029,93,360,0.024117564336942766,0.016043304052685368,0.03255003016732776,0.0,0.0,0.0,1.0,1.0,1.0
material_identity,0.25,0.2,coverage_0.5,42666,0,0,1074,0,93,360,0.0,0.0,0.0,,,,0.0,0.0,0.0
material_identity,0.25,0.2,coverage_0.75,42666,0,0,1074,0,93,360,0.0,0.0,0.0,,,,0.0,0.0,0.0
material_identity,0.25,0.2,interval_upper,42666,0,0,1074,0,93,360,0.0,0.0,0.0,,,,0.0,0.0,0.0
material_identity,0.25,0.2,reported_point,42666,1074,0,1074,1074,93,360,0.025172268316692448,0.016945491750275453,0.0337238095145614,0.0,0.0,0.0,1.0,1.0,1.0
material_identity,0.25,0.3,coverage_0.5,42666,0,0,2496,0,93,360,0.0,0.0,0.0,,,,0.0,0.0,0.0
material_identity,0.25,0.3,coverage_0.75,42666,0,0,2496,0,93,360,0.0,0.0,0.0,,,,0.0,0.0,0.0
material_identity,0.25,0.3,interval_upper,42666,0,0,2496,0,93,360,0.0,0.0,0.0,,,,0.0,0.0,0.0
material_identity,0.25,0.3,reported_point,42666,2496,0,2496,2496,93,360,0.05850091407678245,0.04623890093659951,0.0704942767466992,0.0,0.0,0.0,1.0,1.0,1.0
material_identity,0.25,0.4,coverage_0.5,42666,0,0,3552,0,93,360,0.0,0.0,0.0,,,,0.0,0.0,0.0
material_identity,0.25,0.4,coverage_0.75,42666,0,0,3552,0,93,360,0.0,0.0,0.0,,,,0.0,0.0,0.0
material_identity,0.25,0.4,interval_upper,42666,0,0,3552,0,93,360,0.0,0.0,0.0,,,,0.0,0.0,0.0
material_identity,0.25,0.4,reported_point,42666,3552,0,3552,3552,93,360,0.08325130080157503,0.06919507555650216,0.09751879294594748,0.0,0.0,0.0,1.0,1.0,1.0
material_identity,0.25,0.5,coverage_0.5,42666,0,0,4434,0,93,360,0.0,0.0,0.0,,,,0.0,0.0,0.0
material_identity,0.25,0.5,coverage_0.75,42666,0,0,4434,0,93,360,0.0,0.0,0.0,,,,0.0,0.0,0.0
material_identity,0.25,0.5,interval_upper,42666,0,0,4434,0,93,360,0.0,0.0,0.0,,,,0.0,0.0,0.0
material_identity,0.25,0.5,reported_point,42666,4434,0,4434,4434,93,360,0.10392349880466882,0.08746138149520147,0.11980128339563813,0.0,0.0,0.0,1.0,1.0,1.0
